"","SALE_ID","NEIGHBORHOOD_ID","BUILDING_CLASS_FINAL_ROLL","ADDRESS","APARTMENT_NUMBER","ZIP_CODE","RESIDENTIAL_UNITS","COMMERCIAL_UNITS","GROSS_SQUARE_FEET","YEAR_BUILT","SALE_PRICE","SALE_DATE","DESCRIPTION","TYPE","NEIGHBORHOOD_NAME","BOROUGH_ID"
"9589",1285250,235,"B9","772 50TH   STREET",NA,11220,2,0,2794,1930,2500000,2016-05-10,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9590",1285251,235,"C1","314 50TH STREET",NA,11220,20,0,15792,1915,6750000,2016-05-10,"OVER SIX FAMILIES WITHOUT STORES","RESIDENTIAL","SUNSET PARK","3"
"9591",1285578,235,"B3","228 17TH   STREET",NA,11215,2,0,3408,1899,2025000,2016-05-11,"TWO FAMILY CONVERTED FROM ONE FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9592",1285924,235,"A9","694A 6 AVENUE",NA,11215,1,0,770,1920,0,2016-05-12,"MISCELLANEOUS ONE FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9593",1285925,235,"B9","424 54TH   STREET",NA,11220,2,0,2480,1901,1300000,2016-05-12,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9594",1285926,235,"R4","233 34TH STREET","4B",11232,1,0,0,2013,845147,2016-05-12,"CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.","RESIDENTIAL","SUNSET PARK","3"
"9595",1285927,235,"RP","233 34TH   STREET","P3",11232,0,0,0,2013,0,2016-05-12,"OUTDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9596",1286256,235,"C0","277 22ND   STREET",NA,11215,3,0,1911,1930,1800000,2016-05-13,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9597",1286596,235,"C0","674 6TH AVENUE",NA,11215,3,0,2109,1899,1155000,2016-05-16,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9598",1286597,235,"C2","748 59TH STREET",NA,11220,6,0,4900,1916,0,2016-05-16,"FIVE TO SIX FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9599",1286598,235,"C2","345 63RD   STREET",NA,11220,6,0,5229,1928,0,2016-05-16,"FIVE TO SIX FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9600",1286933,235,"C0","132 33RD   STREET",NA,11232,3,0,2700,1901,806000,2016-05-17,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9601",1286934,235,"RG","531 52ND   STREET","P2",11220,0,0,0,2006,203650,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9602",1286935,235,"RG","531 52ND   STREET","P5",11220,0,0,0,2006,0,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9603",1286936,235,"RG","531 52ND   STREET","P6",11220,0,0,0,2006,0,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9604",1286937,235,"RG","531 52ND   STREET","P10",11220,0,0,0,2006,0,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9605",1286938,235,"RG","531 52ND   STREET","P11",11220,0,0,0,2006,0,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9606",1286939,235,"RG","531 52ND   STREET","P12",11220,0,0,0,2006,0,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9607",1286940,235,"RG","531 52ND   STREET","P13",11220,0,0,0,2006,0,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
